concurso,data,numero_1,numero_2,numero_3,numero_4,numero_5,numero_6,acumulou,valor_acumulado
1,1996-03-11,4,5,30,33,41,52,False,0.0
2,1996-03-18,9,37,39,41,43,49,False,0.0
3,1996-03-25,10,11,29,30,36,47,False,0.0
4,1996-04-01,1,5,6,27,42,59,False,0.0
5,1996-04-08,1,2,6,16,19,46,False,0.0
6,1996-04-15,7,13,19,22,40,47,False,0.0
7,1996-04-22,3,5,20,21,38,56,False,0.0
8,1996-04-29,4,17,37,38,47,53,False,0.0
9,1996-05-06,8,43,54,55,56,60,False,0.0
10,1996-05-13,4,18,21,25,38,57,False,0.0
11,1996-05-20,15,25,37,38,58,59,False,0.0
12,1996-05-27,4,16,19,20,27,43,False,0.0
13,1996-06-03,18,32,47,50,54,56,False,0.0
14,1996-06-10,2,16,23,27,47,53,False,0.0
15,1996-06-17,12,33,35,51,52,60,False,0.0
16,1996-06-24,20,32,34,49,58,60,False,0.0
17,1996-07-01,6,10,13,19,20,51,False,0.0
18,1996-07-08,23,27,36,37,42,56,False,0.0
19,1996-07-15,5,10,12,24,25,60,False,0.0
20,1996-07-22,11,25,28,30,33,51,False,0.0
21,1996-07-29,6,33,36,46,49,53,False,0.0
22,1996-08-05,1,9,31,38,46,56,False,0.0
23,1996-08-12,17,37,39,51,52,59,False,0.0
24,1996-08-19,1,8,14,28,33,43,False,0.0
25,1996-08-25,24,43,50,54,55,56,False,0.0
26,1996-09-01,10,22,50,53,57,58,False,0.0
27,1996-09-08,13,17,20,33,44,51,False,0.0
28,1996-09-15,3,6,22,24,54,60,False,0.0
29,1996-09-22,3,8,14,43,56,58,False,0.0
30,1996-09-29,7,14,15,29,38,50,False,0.0
31,1996-10-06,17,19,28,45,48,56,False,0.0
32,1996-10-13,5,14,33,36,43,44,False,0.0
33,1996-10-20,5,17,33,39,42,49,False,0.0
34,1996-10-27,13,15,17,40,53,57,False,0.0
35,1996-11-03,4,16,21,23,54,57,False,0.0
36,1996-11-10,3,13,17,25,29,51,False,0.0
37,1996-11-17,6,7,22,38,52,60,False,0.0
38,1996-11-24,10,42,43,45,54,55,False,0.0
39,1996-12-01,12,16,37,45,52,56,False,0.0
40,1996-12-08,3,5,8,12,46,47,False,0.0
41,1996-12-15,12,26,35,38,39,47,False,0.0
42,1996-12-22,7,11,19,24,33,36,False,0.0
43,1996-12-29,2,6,17,25,26,58,False,0.0
44,1997-01-05,14,18,29,38,44,47,False,0.0
45,1997-01-12,7,30,37,44,53,55,False,0.0
46,1997-01-19,1,23,24,32,46,60,False,0.0
47,1997-01-26,3,17,25,35,48,56,False,0.0
48,1997-02-02,2,5,28,34,47,50,False,0.0
49,1997-02-09,7,13,33,35,43,55,False,0.0
50,1997-02-16,6,16,21,44,57,58,False,0.0
51,1997-02-23,17,23,24,25,42,47,False,0.0
52,1997-03-02,15,30,38,46,58,59,False,0.0
53,1997-03-09,3,13,16,38,42,46,False,0.0
